ID,REST: Monthly Sales MOD,REST: Monthly rent MOD,REST: Monthly Expenses MOD,REST: Dividends MOD,REST: Staff size MOD,REST: No Wtr MOD,REST: No Ktch Wkr MOD,REST: No tables MOD,REST: Total Capital MOD,REST: Total Partners MOD,REST: No Act Part MOD,REST:  No Pass Part MOD,REST: Applicant invest yr MOD,LRC: Did the applicant apply for Laborer's Return Certificate? MOD,MRC: Did the applicant apply for Merchant's Return Certificate? MOD,MRC: Total number of witnesses
QTOGS,,,,,8.31(p1),,,,,,,,,0.0,0.0,
7D2EB,,,,,8.31(p1),,,,,,,,,0.0,0.0,
FL335,,,,,8.31(p1),,,,,,,,,0.0,0.0,
DX5W3,3000.0,2042.0,,,25.21(p1),,,,99500.0,40.0,5.0,35.0,1921.0,0.0,1.0,2.0
V56S1,,,,,8.31(p1),,,,,,,,,0.0,1.0,
67AIA,,,,,8.31(p1),,,,,,,,,0.0,1.0,2.0
36PQL,,,,,8.31(p1),,,,,,,,,1.0,0.0,
WVO3Y,,95.0,,10.0,16.81(p1),,,,,37.0,16.0,21.0,1921.0,0.0,1.0,4.0
72KNC,,95.0,,10.0,17.86(p1),,,,40000.0,37.0,16.0,21.0,1922.0,0.0,1.0,2.0
BM7J6,,,,,8.31(p1),,,,,,,,,0.0,1.0,
2P98U,,,,,8.31(p1),,,,,,,,,0.0,0.0,
H3C2U,,,,,8.31(p1),,,,,,,,,0.0,0.0,
HYOS7,13000.0,349.99,,,48.0,,,,30440.0,49.0,,,1912.0,0.0,1.0,3.0
YJASN,2000.0,90.0,,,9.81(p1),8.0,,28.0,9000.0,8.0,,,1920.0,0.0,1.0,2.0
9H34O,,,,,8.31(p1),,,,,,,,,1.0,0.0,
8FDH9,4000.0,150.0,,,11.0,4.0,4.0,52.0,,5.0,3.0,2.0,1922.0,1.0,0.0,
3784R,4000.0,150.0,,,8.0,4.0,4.0,52.0,,5.0,3.0,2.0,1922.0,0.0,1.0,7.0
QMK73,,,,,10.10(p1),,,,,,,,,0.0,1.0,3.0
306PO,,,,,8.31(p1),,,,,,,,,0.0,1.0,1.0
SZDEE,,,,,8.31(p1),,,,,,,,,0.0,0.0,
WOT3D,,,,,8.31(p1),,,,,,,,,1.0,0.0,
EU73L,,,,,8.31(p1),,,,,,,,,1.0,0.0,
C54P9,,,,,8.31(p1),,,,,,,,,1.0,0.0,
30O8N,,,,,8.31(p1),,,,,,,,,0.0,0.0,
ABO1C,,,,,8.31(p1),,,,,,,,,0.0,0.0,
OZWMN,,2000.0,,,30.0,18.0,12.0,200.0,90000.0,88.0,8.0,80.0,1924.0,0.0,1.0,2.0
